Successful connection
192.168.0.100
Opened database successfully
Done. no more rows available
Done. no more rows available
Done. no more rows available
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Connection reset by peer
Handshake failed
: Connection reset by peer
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Handshake failed
: Success
Success
Done. no more rows available
Handshake failed
: Success
Handshake failed
: Success
